,Unnamed: 0,CITYHCR,HCTMULT,NAMEHCR,RSSDHCR,STALPHCR
3079,71592,CHICAGO,ONE,"BURLING BANCORP, INC.",4352444,IL
3080,71593,FAYETTEVILLE,MULT,BOLC CORP.,5140312,TN
3081,71598,GOLETA,ONE,COMMUNITY WEST BANCSHARES,2626299,CA
3082,71617,BOWIE,ONE,"OLD LINE BANCSHARES, INC.",3200221,MD
3083,71671,SHREVEPORT,ONE,"HOME FEDERAL BANCORP, INC. OF LOUISIANA",4253121,LA
3084,71689,ASHEVILLE,ONE,"HOMETRUST BANCSHARES, INC.",4366003,NC
3085,71735,WAUKEGAN,ONE,"NORTH SHORE, MHC",3849545,IL
3086,71746,WAKE FOREST,ONE,"WAKE FOREST BANCORP, M.H.C.",3837467,NC
3087,71761,FRANKLIN,ONE,THIRD CENTURY BANCORP,3252659,IN
3088,71767,MUNCIE,ONE,"MUTUALFIRST FINANCIAL, INC.",3175794,IN
3089,71811,MURRYSVILLE,ONE,STANDARD AVB FINANCIAL CORP.,4183442,PA
3090,71829,PITTSBURGH,ONE,WVS FINANCIAL CORP.,2140115,PA
3091,71835,INDIANA,ONE,"INFIRST BANCORP, MHC",4442224,PA
3092,71887,LEVITTOWN,ONE,"WILLIAM PENN, MHC",3846713,PA
3093,71896,GRAND RAPIDS,ONE,INDEPENDENT BANK CORPORATION,1201925,MI
3094,71970,PAOLI,ONE,"MALVERN BANCORP, INC",3805279,PA
3095,71978,ROSWELL,ONE,"PIONEER BANCORP, INC.",3798933,NM
3096,71997,COLLINSVILLE,ONE,"BEST HOMETOWN BANCORP, INC.",4974257,IL
3097,72005,BAXTER,ONE,GREAT RIVER HOLDING COMPANY,3207613,MN
3098,72016,BETHEL PARK,ONE,MUTUAL HOLDING COMPANY OF WESTERN PENNSYLVANIA,2394628,PA
3099,72028,SPENCER,ONE,HOME FINANCIAL BANCORP,2412586,IN
3100,72030,GREENVILLE,ONE,GREENVILLE FEDERAL MHC,3828595,OH
3101,72034,CALDWELL,ONE,COMMUNITY SAVINGS BANCORP INC,5043691,OH
3102,72035,TOPEKA,ONE,"CAPITOL FEDERAL FINANCIAL, INC.",4226910,KS
3103,72089,OTTAWA,ONE,"OTTAWA BANCORP, INC.",5009204,IL
3104,72092,CINCINNATI,ONE,BECK FAMILY TRUST,3828018,OH
3105,72105,COVINGTON,ONE,"COVINGTON FINANCIAL CORPORATION, MHC",3828120,OH
3106,72108,CHICAGO,ONE,"ROYAL FINANCIAL, INC.",3305760,IL
3107,72121,SEATTLE,ONE,"WASHINGTON FEDERAL, INC.",3065617,WA
3108,72357,LAFAYETTE,ONE,"HOME BANCORP, INC.",3851191,LA
3109,72397,LAFAYETTE,ONE,IBERIABANK CORPORATION,2291914,LA
3110,72590,ROBINSON,ONE,FIRST ROBINSON FINANCIAL CORPORATION,2558194,IL
